id,building,floor,station,status,source_type,received_at
71179,K21,8F,K21-8F_3390_A0304克雷爾流道,BUSY,ADAM-6050,2026-04-19 05:50:41
71180,K21,8F,K21-8F_3390_A0506克雷爾流道,BUSY,ADAM-6050,2026-04-19 05:51:03
71181,K21,8F,K21-8F_3390_A0304克雷爾流道,ALARM,ADAM-6050,2026-04-19 05:51:14
71182,K21,8F,K21-8F_3390_A0506克雷爾流道,ALARM,ADAM-6050,2026-04-19 05:51:23
71183,K21,8F,K21-8F_3390_A0304克雷爾流道,BUSY,ADAM-6050,2026-04-19 05:51:48
71184,K21,8F,K21-8F_3390_A0506克雷爾流道,BUSY,ADAM-6050,2026-04-19 05:51:58
71185,K21,8F,K21-8F_3390_A0304克雷爾流道,ALARM,ADAM-6050,2026-04-19 05:52:20
71186,K21,8F,K21-8F_3390_A0506克雷爾流道,ALARM,ADAM-6050,2026-04-19 05:52:30
71187,K21,8F,K21-8F_3390_A0304克雷爾流道,BUSY,ADAM-6050,2026-04-19 05:52:53
71188,K21,8F,K21-8F_3390_A0506克雷爾流道,BUSY,ADAM-6050,2026-04-19 05:53:01
71189,K21,8F,K21-8F_3390_A0304克雷爾流道,ALARM,ADAM-6050,2026-04-19 05:53:24
71190,K21,8F,K21-8F_3390_A0506克雷爾流道,ALARM,ADAM-6050,2026-04-19 05:53:33
71191,K21,8F,K21-8F_3390_A0304克雷爾流道,BUSY,ADAM-6050,2026-04-19 05:53:57
71192,K21,8F,K21-8F_3390_A0506克雷爾流道,BUSY,ADAM-6050,2026-04-19 05:54:08
71193,K21,8F,K21-8F_3390_A0304克雷爾流道,ALARM,ADAM-6050,2026-04-19 05:54:29
71194,K21,8F,K21-8F_3390_A0506克雷爾流道,ALARM,ADAM-6050,2026-04-19 05:54:42
71195,K21,8F,K21-8F_3390_A0304克雷爾流道,BUSY,ADAM-6050,2026-04-19 05:55:03
71196,K21,8F,K21-8F_3390_A0506克雷爾流道,BUSY,ADAM-6050,2026-04-19 05:55:14
71197,K21,8F,K21-8F_3390_A0304克雷爾流道,ALARM,ADAM-6050,2026-04-19 05:55:38
71198,K21,8F,K21-8F_3390_A0506克雷爾流道,ALARM,ADAM-6050,2026-04-19 05:55:50
71199,K21,8F,K21-8F_3390_A0304克雷爾流道,BUSY,ADAM-6050,2026-04-19 05:56:11
71200,K21,8F,K21-8F_3390_A0506克雷爾流道,BUSY,ADAM-6050,2026-04-19 05:56:23
71201,K21,8F,K21-8F_3390_A0304克雷爾流道,ALARM,ADAM-6050,2026-04-19 05:56:42
71202,K21,8F,K21-8F_3390_A0506克雷爾流道,ALARM,ADAM-6050,2026-04-19 05:56:53
71203,K21,8F,K21-8F_3390_A0304克雷爾流道,BUSY,ADAM-6050,2026-04-19 05:57:17
71204,K21,8F,K21-8F_3390_A0506克雷爾流道,BUSY,ADAM-6050,2026-04-19 05:57:28
71205,K21,8F,K21-8F_3390_A0304克雷爾流道,ALARM,ADAM-6050,2026-04-19 05:57:50
71206,K21,8F,K21-8F_3390_A0506克雷爾流道,ALARM,ADAM-6050,2026-04-19 05:58:01
