id,棟別,樓層,站點,搬運超過未啟動時間,搬運未啟動台數,搬運輸出內文,烘烤超時,烘烤超時台數,烘烤超時內文,created_at
3,K11,8F,3260,60分鐘,0,3260-A609: 81分</br>3260-A610: 78分,6H,3,3260-A609: 81分</br>3260-A610: 78分,2025-09-12 16:39:57
14,K11,6F,3260,60分鐘,0,,5.5H,0,,2025-10-06 10:07:56
15,K11,8F,3260,60分鐘,0,,5.5H,0,,2025-10-06 10:07:56
16,K11,6F,3260,60分鐘,0,,5.5H,0,,2025-10-06 11:07:56
17,K11,8F,3260,60分鐘,0,3260-A20: 354</br>,5.5H,1,3260-A20: 354</br>,2025-10-06 11:07:56
18,K11,6F,3260,60分鐘,0,,5.5H,0,,2025-10-06 12:03:36
19,K11,8F,3260,60分鐘,0,3260-A20: 354</br>,5.5H,1,3260-A20: 354</br>,2025-10-06 12:03:36
20,K11,6F,3260,60分鐘,0,,5.5H,0,,2025-10-06 13:07:56
21,K11,8F,3260,60分鐘,0,3260-A20: 473</br>,5.5H,1,3260-A20: 473</br>,2025-10-06 13:07:56
22,K11,6F,3260,60分鐘,0,,5.5H,0,,2025-10-06 14:07:56
23,K11,8F,3260,60分鐘,0,3260-A20: 533</br>,5.5H,1,3260-A20: 533</br>,2025-10-06 14:07:56
96,K11,5F,3390,40分鐘,2,3390-409: 41分</br>3390-410: 41分</br>,40分鐘,0,N/A,2025-10-07 11:20:55
97,K11,8F,3260,60分鐘,1,3260-A07: 93分</br>,5.5H,3,3260-A04: 459分</br>3260-A03: 369分</br>3260-A06: 479分</br>,2025-10-07 11:20:55
120,K11,8F,3910,40分鐘,2,3910-813: 224分</br>3910-808: 178分</br>,0,0,N/A,2025-10-07 14:54:48
126,K11,8F,3910,40分鐘,2,3910-813: 284分</br>3910-808: 239分</br>,0,0,N/A,2025-10-07 15:08:05
264,K11,8F,3910,40分鐘,5,3910-819: 293分</br>3910-820: 162分</br>3910-808: 63分</br>3910-815: 61分</br>3910-807: 43分</br>,0,0,N/A,2025-10-08 11:36:54
270,K11,8F,3910,40分鐘,5,3910-819: 295分</br>3910-820: 163分</br>3910-808: 64分</br>3910-815: 63分</br>3910-807: 44分</br>,0,0,N/A,2025-10-08 11:38:22
274,K11,8F,3260,60分鐘,2,3260-A03: 79分</br>3260-A04: 86分</br>,5.5H,1,3260-A07: 351分</br>,2025-10-08 12:08:05
276,K11,8F,3910,40分鐘,5,3910-819: 325分</br>3910-820: 193分</br>3910-808: 94分</br>3910-815: 92分</br>3910-807: 74分</br>,0,0,N/A,2025-10-08 12:08:05
282,K11,8F,3910,40分鐘,1,3910-819: 384分</br>,0,0,N/A,2025-10-08 13:08:05
288,K11,8F,3910,40分鐘,8,3910-819: 445分</br>3910-805: 68分</br>3910-811: 68分</br>3910-815: 68分</br>3910-816: 68分</br>3910-818: 68分</br>3910-825: 68分</br>3910-807: 49分</br>,0,0,N/A,2025-10-08 14:08:06
294,K11,8F,3910,40分鐘,7,3910-819: 505分</br>3910-825: 128分</br>3910-811: 120分</br>3910-818: 111分</br>3910-807: 109分</br>3910-815: 57分</br>3910-805: 56分</br>,0,0,N/A,2025-10-08 15:08:06
300,K11,8F,3910,40分鐘,3,3910-819: 564分</br>3910-815: 117分</br>3910-811: 58分</br>,0,0,N/A,2025-10-08 16:08:05
304,K11,8F,3260,60分鐘,1,3260-A03: 65分</br>,5.5H,1,3260-A04: 386分</br>,2025-10-08 17:08:05
312,K11,8F,3910,40分鐘,2,3910-803: 87分</br>3910-808: 43分</br>,0,0,N/A,2025-10-08 18:08:05
